Model,Accuracy (%),Training Time (s),Model Size (MB)
mobilenet,78.01724137931035,1767.8772933483124,8.623695373535156
efficientnet,75.43103448275862,2111.6669878959656,15.4580078125
resnet18,72.84482758620689,2172.636111497879,42.675697326660156
custom,53.01724137931034,1669.7841074466705,1.6155166625976562
